MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10008632585,32791870,0.015,Active Import Interval (kW),20-08-2025 03:30
10008632585,32791870,0.014,Active Import Interval (kW),20-08-2025 03:00
10008632585,32791870,0.016,Active Import Interval (kW),20-08-2025 02:30
10008632585,32791870,0.015,Active Import Interval (kW),20-08-2025 02:00
10008632585,32791870,0.016,Active Import Interval (kW),20-08-2025 01:30
10008632585,32791870,0.014,Active Import Interval (kW),20-08-2025 01:00
10008632585,32791870,0.014,Active Import Interval (kW),20-08-2025 00:30
10008632585,32791870,0.016,Active Import Interval (kW),20-08-2025 00:00
10008632585,32791870,0.016,Active Import Interval (kW),19-08-2025 23:30
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 23:00
10008632585,32791870,0.014,Active Import Interval (kW),19-08-2025 22:30
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 22:00
10008632585,32791870,0.016,Active Import Interval (kW),19-08-2025 21:30
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 21:00
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 20:30
10008632585,32791870,0.014,Active Import Interval (kW),19-08-2025 20:00
10008632585,32791870,0.017,Active Import Interval (kW),19-08-2025 19:30
10008632585,32791870,0,Active Import Interval (kW),19-08-2025 19:00
10008632585,32791870,0,Active Import Interval (kW),19-08-2025 18:30
10008632585,32791870,0,Active Import Interval (kW),19-08-2025 18:00
10008632585,32791870,0.032,Active Import Interval (kW),19-08-2025 17:30
10008632585,32791870,0.017,Active Import Interval (kW),19-08-2025 17:00
10008632585,32791870,0.016,Active Import Interval (kW),19-08-2025 16:30
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 16:00
10008632585,32791870,0.014,Active Import Interval (kW),19-08-2025 15:30
10008632585,32791870,0.017,Active Import Interval (kW),19-08-2025 15:00
10008632585,32791870,0.017,Active Import Interval (kW),19-08-2025 14:30
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 14:00
10008632585,32791870,0.024,Active Import Interval (kW),19-08-2025 13:30
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 13:00
10008632585,32791870,0.016,Active Import Interval (kW),19-08-2025 12:30
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 12:00
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 11:30
10008632585,32791870,0.038,Active Import Interval (kW),19-08-2025 11:00
10008632585,32791870,0.024,Active Import Interval (kW),19-08-2025 10:30
10008632585,32791870,0.017,Active Import Interval (kW),19-08-2025 10:00
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 09:30
10008632585,32791870,0.013,Active Import Interval (kW),19-08-2025 09:00
10008632585,32791870,0.07,Active Import Interval (kW),19-08-2025 08:30
10008632585,32791870,0.07,Active Import Interval (kW),19-08-2025 08:00
10008632585,32791870,0.016,Active Import Interval (kW),19-08-2025 07:30
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 07:00
10008632585,32791870,0.013,Active Import Interval (kW),19-08-2025 06:30
10008632585,32791870,0.014,Active Import Interval (kW),19-08-2025 06:00
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 05:30
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 05:00
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 04:30
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 04:00
10008632585,32791870,0.014,Active Import Interval (kW),19-08-2025 03:30
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 03:00
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 02:30
10008632585,32791870,0.016,Active Import Interval (kW),19-08-2025 02:00
10008632585,32791870,0.014,Active Import Interval (kW),19-08-2025 01:30
10008632585,32791870,0.014,Active Import Interval (kW),19-08-2025 01:00
10008632585,32791870,0.016,Active Import Interval (kW),19-08-2025 00:30
10008632585,32791870,0.015,Active Import Interval (kW),19-08-2025 00:00
10008632585,32791870,0.015,Active Import Interval (kW),18-08-2025 23:30
10008632585,32791870,0.014,Active Import Interval (kW),18-08-2025 23:00
10008632585,32791870,0.014,Active Import Interval (kW),18-08-2025 22:30
10008632585,32791870,0.016,Active Import Interval (kW),18-08-2025 22:00
10008632585,32791870,0.015,Active Import Interval (kW),18-08-2025 21:30
10008632585,32791870,0.015,Active Import Interval (kW),18-08-2025 21:00
10008632585,32791870,0.014,Active Import Interval (kW),18-08-2025 20:30
10008632585,32791870,0.017,Active Import Interval (kW),18-08-2025 20:00
10008632585,32791870,0.001,Active Import Interval (kW),18-08-2025 19:30
10008632585,32791870,0,Active Import Interval (kW),18-08-2025 19:00
10008632585,32791870,0,Active Import Interval (kW),18-08-2025 18:30
10008632585,32791870,0.006,Active Import Interval (kW),18-08-2025 18:00
10008632585,32791870,0.005,Active Import Interval (kW),18-08-2025 17:30
10008632585,32791870,0.014,Active Import Interval (kW),18-08-2025 17:00
10008632585,32791870,0.016,Active Import Interval (kW),18-08-2025 16:30
10008632585,32791870,0.023,Active Import Interval (kW),18-08-2025 16:00
10008632585,32791870,0.02,Active Import Interval (kW),18-08-2025 15:30
10008632585,32791870,0.014,Active Import Interval (kW),18-08-2025 15:00
10008632585,32791870,0.015,Active Import Interval (kW),18-08-2025 14:30
10008632585,32791870,0.016,Active Import Interval (kW),18-08-2025 14:00
10008632585,32791870,0.014,Active Import Interval (kW),18-08-2025 13:30
10008632585,32791870,0.014,Active Import Interval (kW),18-08-2025 13:00
10008632585,32791870,0.025,Active Import Interval (kW),18-08-2025 12:30
10008632585,32791870,0.015,Active Import Interval (kW),18-08-2025 12:00
10008632585,32791870,0.018,Active Import Interval (kW),18-08-2025 11:30
10008632585,32791870,0.021,Active Import Interval (kW),18-08-2025 11:00
10008632585,32791870,0.016,Active Import Interval (kW),18-08-2025 10:30
10008632585,32791870,0.018,Active Import Interval (kW),18-08-2025 10:00
10008632585,32791870,0.015,Active Import Interval (kW),18-08-2025 09:30
10008632585,32791870,0.029,Active Import Interval (kW),18-08-2025 09:00
10008632585,32791870,0.048,Active Import Interval (kW),18-08-2025 08:30
10008632585,32791870,0.013,Active Import Interval (kW),18-08-2025 08:00
10008632585,32791870,0.019,Active Import Interval (kW),18-08-2025 07:30
10008632585,32791870,0.015,Active Import Interval (kW),18-08-2025 07:00
10008632585,32791870,0.013,Active Import Interval (kW),18-08-2025 06:30
10008632585,32791870,0.014,Active Import Interval (kW),18-08-2025 06:00
10008632585,32791870,0.015,Active Import Interval (kW),18-08-2025 05:30
10008632585,32791870,0.015,Active Import Interval (kW),18-08-2025 05:00
10008632585,32791870,0.015,Active Import Interval (kW),18-08-2025 04:30
10008632585,32791870,0.015,Active Import Interval (kW),18-08-2025 04:00
10008632585,32791870,0.014,Active Import Interval (kW),18-08-2025 03:30
10008632585,32791870,0.015,Active Import Interval (kW),18-08-2025 03:00
10008632585,32791870,0.015,Active Import Interval (kW),18-08-2025 02:30
10008632585,32791870,0.015,Active Import Interval (kW),18-08-2025 02:00
10008632585,32791870,0.014,Active Import Interval (kW),18-08-2025 01:30
10008632585,32791870,0.014,Active Import Interval (kW),18-08-2025 01:00
10008632585,32791870,0.014,Active Import Interval (kW),18-08-2025 00:30
10008632585,32791870,0.016,Active Import Interval (kW),18-08-2025 00:00
10008632585,32791870,0.015,Active Import Interval (kW),17-08-2025 23:30
10008632585,32791870,0.015,Active Import Interval (kW),17-08-2025 23:00
10008632585,32791870,0.014,Active Import Interval (kW),17-08-2025 22:30
10008632585,32791870,0.014,Active Import Interval (kW),17-08-2025 22:00
10008632585,32791870,0.015,Active Import Interval (kW),17-08-2025 21:30
10008632585,32791870,0.016,Active Import Interval (kW),17-08-2025 21:00
10008632585,32791870,0.023,Active Import Interval (kW),17-08-2025 20:30
10008632585,32791870,0.005,Active Import Interval (kW),17-08-2025 20:00
10008632585,32791870,0,Active Import Interval (kW),17-08-2025 19:30
10008632585,32791870,0,Active Import Interval (kW),17-08-2025 19:00
10008632585,32791870,0,Active Import Interval (kW),17-08-2025 18:30
10008632585,32791870,0,Active Import Interval (kW),17-08-2025 18:00
10008632585,32791870,0,Active Import Interval (kW),17-08-2025 17:30
10008632585,32791870,0,Active Import Interval (kW),17-08-2025 17:00
10008632585,32791870,0,Active Import Interval (kW),17-08-2025 16:30
10008632585,32791870,0.002,Active Import Interval (kW),17-08-2025 16:00
10008632585,32791870,0.004,Active Import Interval (kW),17-08-2025 15:30
10008632585,32791870,0,Active Import Interval (kW),17-08-2025 15:00
10008632585,32791870,0,Active Import Interval (kW),17-08-2025 14:30
10008632585,32791870,0,Active Import Interval (kW),17-08-2025 14:00
10008632585,32791870,0,Active Import Interval (kW),17-08-2025 13:30
10008632585,32791870,0.007,Active Import Interval (kW),17-08-2025 13:00
10008632585,32791870,0.002,Active Import Interval (kW),17-08-2025 12:30
10008632585,32791870,0.027,Active Import Interval (kW),17-08-2025 12:00
10008632585,32791870,0.025,Active Import Interval (kW),17-08-2025 11:30
10008632585,32791870,0.018,Active Import Interval (kW),17-08-2025 11:00
10008632585,32791870,0.023,Active Import Interval (kW),17-08-2025 10:30
10008632585,32791870,0.017,Active Import Interval (kW),17-08-2025 10:00
10008632585,32791870,0.015,Active Import Interval (kW),17-08-2025 09:30
10008632585,32791870,0.012,Active Import Interval (kW),17-08-2025 09:00
10008632585,32791870,0.033,Active Import Interval (kW),17-08-2025 08:30
10008632585,32791870,0.037,Active Import Interval (kW),17-08-2025 08:00
10008632585,32791870,0.054,Active Import Interval (kW),17-08-2025 07:30
10008632585,32791870,0.112,Active Import Interval (kW),17-08-2025 07:00
10008632585,32791870,0.188,Active Import Interval (kW),17-08-2025 06:30
10008632585,32791870,0.014,Active Import Interval (kW),17-08-2025 06:00
10008632585,32791870,0.015,Active Import Interval (kW),17-08-2025 05:30
10008632585,32791870,0.015,Active Import Interval (kW),17-08-2025 05:00
10008632585,32791870,0.015,Active Import Interval (kW),17-08-2025 04:30
10008632585,32791870,0.015,Active Import Interval (kW),17-08-2025 04:00
10008632585,32791870,0.014,Active Import Interval (kW),17-08-2025 03:30
10008632585,32791870,0.014,Active Import Interval (kW),17-08-2025 03:00
10008632585,32791870,0.015,Active Import Interval (kW),17-08-2025 02:30
10008632585,32791870,0.016,Active Import Interval (kW),17-08-2025 02:00
10008632585,32791870,0.015,Active Import Interval (kW),17-08-2025 01:30
10008632585,32791870,0.015,Active Import Interval (kW),17-08-2025 01:00
10008632585,32791870,0.014,Active Import Interval (kW),17-08-2025 00:30
10008632585,32791870,0.014,Active Import Interval (kW),17-08-2025 00:00
10008632585,32791870,0.014,Active Import Interval (kW),16-08-2025 23:30
